,id,hari,tanggal,bulan,tahun,judul,kota,label,penulis,deskripsi
10,6645441,Rabu,29,3,2023,"Ngeri Kecelakaan Angkot Vs Truk di Bogor, Sopir Terjepit di Ruang Kemudi",Bogor,detikNews,M Solihin, Kecelakaan melibatkan angkutan perkotaan (angkot) dan truk kontainer terjadi di Jl Raya Cileungsi
11,6644826,Rabu,29,3,2023,"Pelajar SMA Tewas Ditabrak Mercy di Jaksel, Begini Penjelasan Polisi",Jakarta,detikNews,"Wildan Noviansah, Devi Puspitasari"," Seorang pelajar SMA berinisial S tewas setelah terlibat kecelakaan dengan mobil Mercy di perempatan lampu merah Ragunan, Pasar Minggu, Jakarta Selatan (Jaksel), pada 12 Maret 2023. Polisi saat ini masih mengusut insiden ini.Redaksi detikcom mendapatkan salah satu kontak dari pihak keluarga dari pelajar SMA itu tapi meminta agar identitasnya dirahasiakan. Dia lantas memberikan keterangan tertulis berupa kronologi.""Iya betul, ini untuk lengkapnya,"" ucap pihak keluarga S memberikan keterangan tertulis itu, Rabu (30/3/2023).                Dari keterangan itu disebutkan peristiwa nahas tersebut terjadi sekitar 2 pekan lalu atau tepatnya pada Minggu, 12 Maret 2023, sekitar pukul 01.00 WIB. Saat itu S membonceng rekannya berinisial B menggunakan motor milik S.Motor yang mereka kendarai melaju dari Cilandak melintas di perempatan lampu merah Ragunan. Pada saat bersamaan, ada mobil Mercy dengan kecepatan kencang dari arah Mampang Prapatan ke Ragunan. Malang tak dapat dihindari, tabrakan pun terjadi.Disebutkan dalam keterangan dari pihak keluarga itu bila S tewas di tempat, sedangkan B sempat koma. Mereka dievakuasi ke RSUD Pasar Minggu.Baca juga: Info Macet Tol Pagi Ini: Jatiasih Arah Jatiwarna, Pasar Minggu"
12,6644563,Rabu,29,3,2023,Waspada Mudik Bawa Kendaraan! 80% Kecelakaan Terjadi karena Kelelahan,Jakarta,detikOto,Rangga Rahadiansyah," Belakangan ini sering terjadi kecelakaan maut. Angka kematian akibat kecelakaan lalu lintas pun terbilang masih tinggi.Menurut Djoko Setijowarno, Akademisi Prodi Teknik Sipil Unika Soegijapranata dan Wakil Ketua Bidang Pemberdayaan dan Penguatan Kewilayahan Masyarakat Transportasi Indonesia (MTI), dari data yang dihimpun oleh Kepolisian RI, faktor utama penyebab kecelakaan lalu lintas adalah pengemudi. Komite Nasional Keselamatan Transportasi (KNKT) memperkirakan sekitar 80 persen kecelakaan disebabkan oleh kelelahan.""Sebelum menempuh perjalanan jauh, sebaiknya beristirahat dengan cukup. Kalau di tengah perjalanan merasa lelah, langsung mencari tempat istirahat terdekat dan beristirahat untuk menghindari risiko kecelakaan,"" kata Djoko dalam keterangan tertulisnya.                Baca juga: Sopir Cuek sampai Berujung Kecelakaan, Ini Tanda"
13,6644310,Rabu,29,3,2023,"Heboh Sopir Ambulans Kabur Usai Tabrak Innova di Karanganyar, Ini Kata Polisi",Karanganyar,detikJateng,Agil Trisetiawan Putra, Kecelakaan lalu lintas melibatkan mobil ambulans dengan mobil pribadi jenis Toyota Innova terjadi di Jalan Solo
14,6643062,Selasa,28,3,2023,Sigra Terbalik Setelah Oleng-Serempet 2 Kendaraan di Arteri Jombang,Jombang,detikJatim,Enggran Eko Budianto," Mobil Daihatsu Sigra terbalik setelah menyerempet sepeda motor dan mobil di jalur arteri Jombang. Kecelakaan ini membuat sopir LMPV tersebut terluka.Kanit Gakkum Satlantas Polres Jombang Ipda Anang Setiyanto mengatakan Sigra nopol S 1470 OH itu melaju dari timur ke barat atau dari arah Mojokerto ke Jombang di jalur arteri. Mobil warna putih itu dikemudikan Abdul Hamid (65), warga Desa Mojotrisno, Mojoagung, Jombang.Sampai di jalan arteri Dusun Ngemplak, Desa Mojotrisno sekitar pukul 16.00 WIB, Sigra itu tiba"
15,6642694,Selasa,28,3,2023,'Adu Banteng' Jadi Jenis Kecelakaan Lalu Lintas Terbanyak di Indonesia,Jakarta,detikOto,Rafly Adli," Kecelakaan lalu lintas masih sering terjadi di Indonesia. Tapi tahukah kamu kalau kecelakaan jenis 'adu banteng' merupakan yang paling sering terjadi di Tanah Air?Kecelakaan lalu lintas terjadi akibat dari berbagai faktor, tidak sedikit juga diakibatkan kecerobohan manusia. Berdasarkan laporan Pusat Informasi Kriminal Nasional (Pusiknas) Polri, didapati bahwa sebanyak 62.975 kasus kecelakaan lalu lintas di Indonesia telah terjadi pada sepanjang semester pertama tahun 2022.Baca juga: Cara Nyalip Kendaraan Biar Enggak Adu BantengPuluhan ribu kecelakaan itu terdiri dari beragam jenis. Salah satunya yang paling banyak adalah 'adu banteng' atau tabrakan antara bagian depan dengan depan. 'Adu banteng' menjadi jenis kecelakaan lalu lintas terbanyak sepanjang periode semester I 2022 dengan jumlah sebesar 13.783 kasus atau 21,89%.                Jenis kecelakaan lalu lintas tertinggi lainnya adalah tabrakan yang terjadi antara bagian depan mobil dengan bagian belakang mobil lainnya, kecelakaan jenis ini memiliki kasus sebanyak 13.731 kasus atau sebesar 21,80% dari total seluruh kecelakaan.Kecelakaan tunggal berada di urutan ketiga dengan jumlah sebanyak 12.571 kasus atau sebesar 19,88%. Kecelakaan yang melibatkan tabrakan langsung dengan manusia juga tergolong tinggi, dimana terdapat 7.109 kasus yang terjadi sepanjang semester pertama 2022.Sebab dari kecelakaan ini pun sangat bervariasi, misalnya lalai terhadap lalu lintas dari depan menjadi penyebab kecelakaan paling banyak. Ini juga yang menjadi sebab dari banyaknya kecelakaan adu banteng. Penyebab lainnya adalah tidak menjaga jarak aman, melebihi batas kecepatan, hingga ceroboh saat menyalip.Baca juga: Pelajaran dari Kasus Adu Banteng Ambulans vs Truk yang Tewaskan Dokter di PangandaranSebagian besar kecelakaan lalu lintas ini terjadi akibat adanya faktor kelalaian manusia, baik dari pengendara itu sendiri maupun pengguna jalan di sekitarnya.""Faktor manusia merupakan yang paling dominan dalam kecelakaan. Faktor manusia dalam tabrakan kendaraan mencakup semua hal yang berhubungan dengan perilaku pengemudi dan pengguna jalan lain, seperti pandangan dan ketajaman pendengaran, kemampuan membuat keputusan, dan kecepatan reaksi terhadap perubahan kondisi lingkungan dan jalan,"" kata Polri dalam laporannya. Simak Video ""Bukan Tengah Malam, Ini Jam"
16,6642088,Selasa,28,3,2023,Tragis! TikToker Tewas Kecelakaan Usai Sesumbar Tak Pernah Kecelakaan,Jakarta,detikInet,Josina," Seorang TikToker meninggal dunia karena kecelakaan mobil yang dialaminya. Tragisnya beberapa hari sebelum meninggal ia membuat konten di mana ia tidak pernah mengalami kecelakaan mobil.Adalah Kara Santorelli seorang wanita berusia 18 tahun meninggal pada 17 Maret 2023 pekan lalu. Saat kejadian, ia melaju dengan kendaraannya namun di jalur jalan yang salah tepatnya di Jalan Highway 29 di Escambia County, Florida, Amerika Serikat.Lalu secara tiba"
17,6641290,Senin,27,3,2023,"Pemotor Keluar Jalur Terjun Bebas dari Jembatan, Diduga Mengantuk",Tabanan,detikBali,Chairul Amri Simabur, Seorang pengendara motor yang melintas di jalur Denpasar
18,6640998,Senin,27,3,2023,"Duh! Diduga Main HP Sambil Berkendara, Kepala Ojol Hampir Terlindas Truk",Jakarta,detikOto,Tim detikcom," Seorang pengemudi ojek online (ojol) hampir dilindas truk box. Dalam narasi disebutkan, pengemudi ojol itu hilang konsentrasi karena berkendara sembari memainkan handphone.Dalam video yang menyebar di media sosial, terlihat pemotor dengan atribut ojek online mengendarai motor matik di jalan Danau Sunter Utara, Jakarta Utara, Sabtu (25/3) lalu. Kejadian yang terekam lewat dashcam belakang mobil itu memperlihatkan pemotor tersebut tidak sigap ketika mobil di depannya berhenti.Diduga pemotor sedang melakukan aktivitas lain ketika berkendara. Dari rekaman terlihat pemotor sempat menundukkan kepala seperti melihat handphone. Sejurus kemudian, pemotor itu tidak menyadari di depannya terdapat mobil sedang berhenti.                Bermain HP saat mengendarai motor, driver ojol ini menabrak mobil didepannya dan kepalanya hampir terlind4s truk.Peristiwa ini terjadi di jalan Danau Sunter Utara, Tanjung Periuk, Jakarta Utara, Sabtu pagi (25/03/2023) pic.twitter.com/4U9xwN1avzâ Kodok Ijo ð¸ (@Midjan_La_2) March 25, 2023Baca juga: Perhatian yang Mau Road Trip Jelajah Sumatera, Selalu Isi Bensin Full Tank!Walhasil karena belum mengurangi kecepatan, pemotor itu menabrak dan jatuh ke sebelah kiri di mana terdapat truk sedang melaju. Beruntung truk box masih sempat untuk mengerem, kepala pengemudi ojol itu nyaris terlindas. Dalam cuplikan video lainnya terlihat pengemudi ojol itu sadar dan dibopong oleh pengendara sekitar ke pinggir jalan.Berkaca dari kejadian tersebut, menggunakan handphone saat berkendara baik motor ataupun mobil bisa membahayakan. WHO (World Health Organization) menyebut memainkan ponsel saat mengemudi dampaknya empat kali lebih besar terlibat dalam kecelakaan daripada pengemudi yang tidak menggunakan ponsel.Dalam laporan berjudul ""Mobil Phone Use: A Growing Problem of Driver Distraction"" itu dijelaskan, memainkan ponsel saat berkendara bisa menimbulkan gangguan kognitif, di antaranya mengalihkan pandangan pengemudi dari jalan, tangan tidak siap dengan setir, dan pikiran tidak fokus pada situasi sekitar jalan.Baca juga: Viral Aksi Sopir Fortuner Arogan: Disetop Malah Ngotot 'Sundul' PolisiDampak lain memainkan ponsel saat berkendara mengakibatkan waktu reaksi yang lebih lama, terutama waktu reaksi pengereman, gangguan kemampuan untuk tetap berada di jalur yang benar, jarak aman yang lebih pendek, dan penurunan keseluruhan kesadaran situasi mengemudi.Instruktur dan founder Jakarta Defensive Driving Consulting (JDDC) Jusri Pulubuhu menegaskan, menambah suatu pekerjaan saat mengemudi seperti bermain ponsel membuat risiko kecelakaan jadi lebih tinggi.""Dia menambah suatu pekerjaan yang membuat multitasking. Udah pasti mengganggu,"" katanya.Menurut Jusri, mengemudi kendaraan adalah pekerjaan yang tidak bisa dilakukan berbarengan dengan kegiatan lain. Jika bermain HP sambil mengemudi, maka sistem motorik pada diri pengemudi terganggu.""Ini kan multitasking berkendara itu. Selain nalar, emosi, motorik terpakai semua kan. Ketika motorik kita terganggu karena konsentrasi kita ke sana maka konsentrasi mengemudi kita terganggu dong,"" ujarnya.Baca juga: Pelajaran dari Kasus Pemobil X"
19,6639639,Senin,27,3,2023,Jalur Mudik di Kabupaten Bandung Masih Perlu Perbaikan,Bandung,detikJabar,Yuga Hassani," Beberapa sarana dan prasarana terus dipersiapkan jelang arus mudik 2023 mendatang. Terutama sarana di area jalur mudik di Kabupaten Bandung.Kasatlantas Polresta Bandung Kompol Mangku Anom Sutresno mengatakan sarana dan prasarana lalu lintas sudah dinilai baik. Namun menurutnya masih ada beberapa titik yang perlu dilakukan perbaikan.""Yang jadi masalah itu di beberapa titik masih ada hambatan perbaikan jalan dan lampu penerangan yang masih kurang baik,"" ujar Anom, saat dihubungi detikJabar, Senin (27/3/2023).                Baca juga: Polisi Buru Pemilik Reklame Ambruk di Soekarno"
20,6639965,Senin,27,3,2023,"Polresta Denpasar Tilang 43 WNA Pelanggar Lalu Lintas, Mayoritas Asal Rusia", Denpasar,detikBali,I Wayan Sui Suadnyana," Sebanyak 43 dari 365 pelanggar lalu lintas di Kota Denpasar dalam sepekan merupakan warga negara asing (WNA). Pelanggaran tersebut didapatkan kurun waktu 19 hingga 25 Maret 2023 oleh Kepolisian Resor Kota (Polresta) Denpasar.Para WNA yang melanggar berasal dari 22 negara, didominasi oleh turis Rusia, sebanyak 17 orang. Pelanggaran didominasi dengan berkendara tanpa mengenakan helm. Sedangkan sisanya terdiri dari berkendara tanpa tanda nomor kendaraan bermotor (TNKB), dan tanpa kelengkapan surat kendaraan.""Sebanyak 43 pelanggar WNA diberikan tindakan tilang manual,"" ungkap Kepala Seksi Hubungan Masyarakat (Kasi Humas) Polresta Denpasar AKP I Ketut Sukadi dalam keterangannya kepada wartawan, Senin (27/3/2023).                Penindakan tersebut dilakukan bersama jajaran Kepolisian Sektor (Polsek) di Kota Denpasar dan Badung Selatan. Dari 365 pelanggar, penindakan yang diberikan terdiri dari 151 tilang manual, satu e"
21,6639576,Senin,27,3,2023,"Separator Pecah Berhamburan di Jalan, Flyover Pesing Sempat Ditutup",Jakarta,detikNews,Mei Amelia R," Separator jalan pecah berhamburan di flyover Pesing, Jakarta Barat. Lalu lintas ke flyover Pesing sempat ditutup karena pecahan material separator jalan yang berhamburan.Informasi disampaikan akun Instagram TMC Polda Metro Jaya, pecahan separator tersebut didokumentasikan sekitar 07.46 WIB. Lalu lintas ke arah Grogol dialihkan ke bawah karena ada pecahan material di flyover Pesing.""07.46 Imbas adanya Separator Pembatas Jalan yang berhamburan yang dapat mengakibatkan kecelakaan lalu lintas di Layang Pesing Jakbar, untuk sementara arus lalu lintas menuju arah Grogol dialihkan melalui Jalur Bawah,"" tulis TMC Polda Metro Jaya, Senin (27/3/2023).                Petugas Satlantas Jakarta Barat dan Dinas Perhubungan saat ini telah membersihkan separator tersebut. Petugas bersama"
22,6639520,Senin,27,3,2023,"Truk Gangguan di Bahu Jalan, Lalin Tol Jagorawi arah Jakarta Padat",Jakarta,detikNews,Yulida Medistiara," Lalu lintas tol Jagorawi arah ke Jakarta mengalami kepadatan pagi ini. Salah satunya karena adanya kendaraan mengalami gangguan di sekitar KM 17+400 Cimanggis.""Jagorawi arah Jakarta informasi kepadatan sudah terjadi di sekitaran Citeurep sampai Cimanggis, informasi kepadatan ada kendaraan truk mengalami gangguan kanvas kopling posisi kendaraannya sudah di bahu luar paling kiri,"" kata petugas call center Jasa Marga, Rian saat dihubungi sekitar pukul 07.27 WIB, Senin (27/3/2023).Saat ini kendaraan yang mengalami gangguan itu telah ditangani oleh petugas. Saat ini kondisi kendaraan yang mengalami gangguan itu telah berada di bahu luar. Rian menyampaikan akibat kecelakaan itu, terjadi macet menjelang lokasi.                ""Kondisinya nggak terlalu panjang, menjelang lokasi,"" ujarnya.Baca juga: Truk Tangki Tabrak Truk Tanah di Tol Japek Arah Karawang, Lalin MacetSelain itu petugas telah melakukan Contra Flow di KM 17+200 Cimanggis sampai Cipayung KM 8+800. Selanjutnya kemacetan kembali terjadi di Cibubur, dan Taman Mini arah ke Cawang.""Di sekitar Cibubur KM 15 sampai KM 13 volume kendaraan untuk kepadatannya masih ada terjadi, kemudian ada kepadatan kembali dari Cipayung sampai Taman Mini masih (macet) seputar volume kendaraan saja, untuk kepadatan mengarah ke Cawang,"" ujarnya.Lihat juga Video 'Truk Tangki BBM Tabrak Rumah Warga Sampai Hancur di Palembang':[Gambas:Video 20detik] (yld/zap)macet kemacetan jasa marga jakarta jabodetabek macet jakarta macet di tol "
23,6639510,Senin,27,3,2023,"Truk Tangki Tabrak Truk Tanah di Tol Japek Arah Karawang, Lalin Macet",Jakarta,detikNews,Isal Mawardi," Kecelakaan lalu lintas terjadi di Tol Jakarta Cikampek (Japek) arah Karawang. Sebuah truk tangki menabrak truk tanah.""Lokasi (kecelakaan KM) 8+500 saat ini dalam penanganan,"" ujar petugas call center Jasa Marga, Tami, ketika dihubungi, Senin (27/3/2023) pukul 07.27 WIB.Tabrakan itu terjadi pukul 06.34 WIB. Belum diketahui ada tidaknya korban jiwa dari peristiwa ini.                Baca juga: 7 Fakta Mahasiswa UNS Tewas Terjatuh di Gua Braholo Gunungkidul""Belum ada datanya. masih dalam penanganan,"" lanjutnya.Kecelakaan ini terjadi di bahu luar dan lajur 1. Karena tabrakan ini, kemacetan pun tak terhindarkan.""Saat ini ada kepadatan menjelang lokasi kejadian, kurang lebih kepadatannya (panjang antrean) 200 meter kebelakang,"" terangnya.Lihat juga Video 'Truk Tangki BBM Tabrak Rumah Warga Sampai Hancur di Palembang':[Gambas:Video 20detik](isa/zap)tol japek tol jakarta cikampek kemacetan jabodetabek "
