conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,66E+18;Wed May 17 05:27:47 +0000 2023;36912;Kita 32 tahun menunggu kemenangan kutukan Runner Up selalu menghantui tapi tidak pernah melakukan seperti ini. Boleh psywar diawal. Tapi kalau kalah ya terima dong Aksi tak terpuji dilakukan oleh bek Timnas Thailand U-22 Jonathan Khemdee saat penyerahan medali perak usai laga https://t.co/M9worN3avF;1,66E+18;https://pbs.twimg.com/media/FwToLtHaQAAf3qT.jpg;;in;;843;2004;3899;https://x.com/recehtapisayng/status/1658705856001880064;1,09E+18;recehtapisayng
1,80E+18;Mon Jun 17 09:00:02 +0000 2024;135;KISAH YUNANI 🇬🇷 vs. 🇵🇹 2-1 vs. 🇪🇸 1-1 vs. 🇷🇺 1-2 vs. 🇫🇷 1-0 vs. 🇨🇿 1-0 vs. 🇵🇹 1-0 Kompilasi perjalanan timnas Yunani saat meraih gelar Piala Eropa 2004! (@90s_futbol) https://t.co/KCQmrwI5Az;1,80E+18;https://pbs.twimg.com/ext_tw_video_thumb/1802214553415241728/pu/img/9Nl4EO98Xocilf_2.jpg;;in;Indonesia;2;4;50;https://x.com/medioclubID/status/1802627249931186410;2779927232;medioclubID
1,77E+18;Wed Mar 27 07:45:45 +0000 2024;23931;Sorry tapi ini lucu banget sial ditanyain ke Timnas Brazil beneran anjir https://t.co/2xAuvcRmun;1,77E+18;https://pbs.twimg.com/media/GJqUjZ7bsAA94rC.jpg;;in;Tokyo-to, Japan;966;559;5370;https://x.com/kevinpramudya_/status/1772892750058533135;326059312;kevinpramudya_
1,78E+18;Thu Apr 25 20:55:38 +0000 2024;57019;Assalamu'alaikum semifinal! https://t.co/OSBskdC2jX;1,78E+18;https://pbs.twimg.com/media/GMCfV5-bYAAPa00.jpg;;in;Indonesia;3333;1582;21731;https://x.com/TimnasIndonesia/status/1783600779066241364;1,68E+18;TimnasIndonesia
1,80E+18;Sun Jun 23 15:33:22 +0000 2024;5;LETSSS GO!! Otw Leipzig ️ Forza 🇮🇹 : @Azzurri_En #EURo2024 https://t.co/TghdSKhp11;1,80E+18;https://pbs.twimg.com/ext_tw_video_thumb/1804900487906664448/pu/img/bRxLGQ1yDOYJrFqy.jpg;;de;Indonesia;1;1;2;https://x.com/infoAzzurri/status/1804900564427554962;308372640;infoAzzurri
1,75E+18;Fri Jan 19 11:46:29 +0000 2024;14128;TIMNAS AMIN TEMUKAN 54 JUTA DPT BERMASALAH. ADA PEMILIH BERUSIA DI ATAS 1.000 TAHUN! https://t.co/ky023nwLzz;1,75E+18;https://pbs.twimg.com/media/GEM_jSeaMAABkM-.jpg;;in;;441;472;3527;https://x.com/herculep638/status/1748310958861328547;1,72E+18;herculep638
1,80E+18;Sun Jun 23 12:57:06 +0000 2024;1435;️ Saya dengar beliau [Shin Tae-yong] sedang dalam perawatan di rumah sakit kami berikan waktu Kalau pun dari Korea Selatan ingin Shin Tae-yong saya tidak bisa melarang. ️ Pembangunan tim nasional ini bukan berdasarkan satu individu saya jamin itu. Timnas ini dibangun https://t.co/7sHqaRl2Uu;1,80E+18;https://pbs.twimg.com/media/GQwnuzwaoAA6SqE.jpg;;in;;45;171;78;https://x.com/idextratime/status/1804861238612267158;1,22E+18;idextratime
1,69E+18;Thu Aug 24 10:50:53 +0000 2023;3658;Menu latihan Timnas demi trofi juara yang 'mereka' inginkan. https://t.co/0JbMJ0imvK;1,69E+18;https://pbs.twimg.com/ext_tw_video_thumb/1694663515783700480/pu/img/rhao6DR2LZDAioHV.jpg;;in;Indonesia;492;697;614;https://x.com/indosupporter/status/1694663564181840025;110109093;indosupporter
1,76E+18;Fri Feb 23 04:57:30 +0000 2024;6508;Jangankan main futsal dipanggil Timnas juga gw tolak https://t.co/3ALk4q1EzX;1,76E+18;https://pbs.twimg.com/ext_tw_video_thumb/1760891535120601088/pu/img/RYZ5D5VpVbtu6ecd.jpg;;in;Jakarta Selatan, DKI Jakarta;560;833;2247;https://x.com/feedemady/status/1760891610769088964;1,16E+18;feedemady
1,80E+18;Sun Jun 23 08:55:43 +0000 2024;228;CEO Bali United membantah rumor yang beredar jika Serdadu Tridatu mendekati winger timnas satu ini! Apakah kamu 'senang' atau 'kecewa' mendengar berita ini? https://t.co/ulKjnTFszV;1,80E+18;https://pbs.twimg.com/media/GQvwevZbsAAyCTT.jpg;;in;Indonesia;3;24;8;https://x.com/TMidn_news/status/1804800492620701780;416704702;TMidn_news
1,80E+18;Fri Jun 21 15:52:29 +0000 2024;4816; https://t.co/iB460d3KdW;1,80E+18;https://pbs.twimg.com/media/GQm8gITakAgJPJM.jpg;;qme;Indonesia;110;89;817;https://x.com/TimnasIndonesia/status/1804180599873364299;1,68E+18;TimnasIndonesia
1,80E+18;Wed May 29 08:15:56 +0000 2024;21838;kata siapa fomo timnas itu yg paling buruk? https://t.co/uEgoloI8cF;1,80E+18;https://pbs.twimg.com/media/GOu3oIMa4AANiuV.jpg;;in;;715;537;1899;https://x.com/2lrshi/status/1795730784248275185;1,29E+18;2lrshi
1,80E+18;Sun Jun 16 12:20:09 +0000 2024;2783;Mereka yang gak dipanggil Timnas Belanda🇳🇱 untuk ikut Turnamen Mayor seperti #EURo2024 sudah saatnya berganti Warga Negara 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 https://t.co/8PVRegm8Pj;1,80E+18;https://pbs.twimg.com/media/GQMcJBZbgAAtOFd.jpg;;in;;33;112;219;https://x.com/bahaspemainbola/status/1802315222495134011;7,53E+17;bahaspemainbola
1,78E+18;Fri Apr 26 12:13:43 +0000 2024;6094;Bung Towel NGEMIS ucapan trimakasih agar diberikan kepada peserta klub Liga 1 Indonesia Ini agak MEMALUKAN sih baru pernah ada orang dalam sejarah timnas mengemis ucapan trimakasih Coach @CoachJustinL sedang menyederhanakan masalah didepan Towel yang membesarkan masalah https://t.co/J8MGnYLh60;1,78E+18;https://pbs.twimg.com/ext_tw_video_thumb/1783831623940870144/pu/img/PcR2XZ7AGzBCjlrb.jpg;;in;DKI Jakarta, Indonesia;730;1545;1102;https://x.com/Miduk17/status/1783831824042770600;1,10E+18;Miduk17
1,80E+18;Sat Jun 22 08:05:29 +0000 2024;6990;Kelakuan suporter Timnas Pusat https://t.co/sZdJiNhT29;1,80E+18;https://pbs.twimg.com/ext_tw_video_thumb/1804425450468315136/pu/img/_j3nUIVQN6izDZ_u.jpg;;in;Stadion GBK;231;229;1071;https://x.com/InfosuporterID/status/1804425462380196338;4379131152;InfosuporterID
1,80E+18;Wed Jun 05 14:57:09 +0000 2024;1022; Temen gua niat cuman having fun tp malah berujung di bully sampe kayak gini. Padahal semua jg dia teriakin tïmnās jg didukung emang lirik lagunya aja yg cocok sama namanya. Salahkah? Ya maap deh fans b0la superior https://t.co/z5EGzlwLQF;1,80E+18;https://pbs.twimg.com/media/GPUWlTOa8AARcsa.jpg;;in;Indonesia;104;118;112;https://x.com/tanyarlfes/status/1798368466308919420;1371650588;tanyarlfes
1,75E+18;Wed Jan 31 04:07:28 +0000 2024;6176;Kapan pernah Timnas main dengan gaya main kayak gini? Kalo pernah silakan ganti STY. Kalo gak pernah Perpanjang Kontrak STY!! https://t.co/RC42I8B2af;1,75E+18;https://pbs.twimg.com/ext_tw_video_thumb/1752248511167700992/pu/img/aM3eqFyQG38vSm7R.jpg;;in;Satelit ;80;304;1100;https://x.com/SiaranBolaLive/status/1752544097888620727;756534156;SiaranBolaLive
1,75E+18;Fri Jan 19 16:50:09 +0000 2024;13526;Ernando Ari Sutaryadi ini emang bukan kiper kaleng-kaleng. Kiper Persebaya ini baru 21 tahun. Tadi penyelamatan di menit akhirnya itu punya nilai yg sangat tinggi. Dan di usia semuda itu konsistensinya layak diacungi jempol. Pantes selalu jadi kiper utama di semua level timnas. https://t.co/cH2LTv4YfA;1,75E+18;https://pbs.twimg.com/media/GEOFDsCaMAAwuqg.jpg;;in;;176;272;1915;https://x.com/iIhamzada/status/1748387381483581545;4739247200;iIhamzada
1,80E+18;Sun Jun 23 09:55:50 +0000 2024;1409;Per The Times Timnas Inggris mendapat pep talk di ruang ganti pasca-laga vs Denmark dari Presiden FA Pangeran William. Mirip di negara mana gitu ya? Apakah kata-kata nasihat dari Pangeran William juga dimulai dengan: KITA MAU NYERAH ATAU FIGHT BACK?! https://t.co/NOuzcwxbJw;1,80E+18;https://pbs.twimg.com/media/GQv-PZuXYAENtTh.jpg;;in;Indonesia;71;103;228;https://x.com/theflankerID/status/1804815622057898046;1,29E+18;theflankerID
1,80E+18;Fri Jun 21 11:51:03 +0000 2024;8234;🇮🇩 Timnas Indonesia tidak akan menurunkan tim utama di Piala AFF 2024! https://t.co/hz3cF6L1pJ;1,80E+18;https://pbs.twimg.com/media/GQmFbv-akAIbGkM.jpg;;in;;145;532;468;https://x.com/gilabola_ina/status/1804119841974161880;1,17E+18;gilabola_ina
1,70E+18;Fri Sep 15 04:31:49 +0000 2023;12305;Enzo Sternal dicoret dari skuad Timnas Prancis U-16 usai melakukan selebrasi dengan tulisan 'Allah is Great' atau 'Allahu Akbar' di kausnya. Federasi Sepakbola Prancis dikabarkan merasa tidak nyaman dengan tindakan Enzo Sternal setelah dirinya mencetak gol bagi Timnas Prancis https://t.co/O0UeKvrdTr;1,70E+18;https://pbs.twimg.com/media/F6CjvPObsAA78II.jpg;;in;Satelit ;201;782;1087;https://x.com/SiaranBolaLive/status/1702540700053889051;756534156;SiaranBolaLive
1,78E+18;Fri Apr 26 18:17:38 +0000 2024;24177;kandas sudah timnas https://t.co/YA51IICAg6;1,78E+18;https://pbs.twimg.com/media/GMHE4WwaIAA7ZG9.jpg;;in;;2141;1395;3542;https://x.com/howtodresvvell/status/1783923405068374267;1,25E+18;howtodresvvell
1,80E+18;Fri Jun 07 09:15:01 +0000 2024;5;Sekarang tau kan kenapa pride supporter tuh tinggi mereka yang akan selalu ada saat tim jatuh dan berpesta bersama saat timnas terbang tinggi tanyarl https://t.co/RT5Y4dcFL2;1,80E+18;https://pbs.twimg.com/media/GPZJJk2aUAA0XHj.jpg;;in;Indonesia;0;0;0;https://x.com/tanyarlfes/status/1799007143359844697;1371650588;tanyarlfes
1,80E+18;Thu Jun 06 11:01:12 +0000 2024;8729;Bukan hari kita. https://t.co/0y9GsEQycf;1,80E+18;https://pbs.twimg.com/media/GPYqK08bAAAGcVH.jpg;;in;Indonesia;668;891;1192;https://x.com/TimnasIndonesia/status/1798671477522530742;1,68E+18;TimnasIndonesia
1,80E+18;Sat Jun 15 09:33:47 +0000 2024;835;ketemu anon tele abang inisial b jurusan akuntansi umur 23 seru obrolannya dari bahas tokai ikigai timnas bola trs mau mutual i-ge blm sempet eh pas aku mau bls lg akunya terlalu ngantuk eh malah ga sengaja kepencet next huhu sorry yaa kakaknya keknya main x jugaa dh https://t.co/3Abi0rBAoL;1,80E+18;https://pbs.twimg.com/media/GQGsY7BakAAAVVj.png;;in;Indonesia;4;28;15;https://x.com/tanyarlfes/status/1801910966864515365;1371650588;tanyarlfes
1,78E+18;Thu Apr 25 22:47:13 +0000 2024;9169;Pantesan nyinyirin Timnas dan Shin Tae-yong Pendukung Korsel ternyata! https://t.co/FjAjAsHqZ3;1,78E+18;https://pbs.twimg.com/media/GMC4_ZMWgAAEOsQ.jpg;;in;Ngadi King of The South;160;308;1324;https://x.com/MafiaWasit/status/1783628860208169353;2794327166;MafiaWasit
1,75E+18;Sun Jan 28 10:26:19 +0000 2024;6388;Sebelas pertama Timnas Garuda vs Australia pada babak 16 Besar Piala Asia Qatar 2023 malam hari ini #KitaGaruda #BersamaGaruda #GarudaMendunia #GarudaDiPialaAsia #AsianCup2023 https://t.co/zpvrFWbFol;1,75E+18;https://pbs.twimg.com/media/GE7DglobAAA_ZBe.jpg;;in;Indonesia;1027;589;1405;https://x.com/TimnasIndonesia/status/1751552273917047043;1,68E+18;TimnasIndonesia
1,80E+18;Wed Jun 19 07:42:30 +0000 2024;25;Atas: timnas 🇵🇹 Portugal 2004 Bawah: timnas 🇵🇹 Portugal 2024 : ig/goalcomindonesia https://t.co/bIOSpeyIVz;1,80E+18;https://pbs.twimg.com/media/GQa5XQTaIAMkguQ.jpg;;in;;0;2;1;https://x.com/gilabola_ina/status/1803332512783147070;1,17E+18;gilabola_ina
1,80E+18;Sun Jun 23 08:54:32 +0000 2024;67;Apabila Italia menang di laga terakhir grup maka kita akan main di Olimpiade Berlin di 29 Juni melawan runner up grup nya Jerman dan jam nya cukup bersahabat dengan tifosi Indonesia. Semoga! Seri pun tetap bisa runner up! Semangat 2016 semoga bisa di adopsi! #EURo2024 https://t.co/8eToKGmrug;1,80E+18;https://pbs.twimg.com/media/GQvwNQIb0AAMlBR.jpg;;in;Indonesia;1;11;13;https://x.com/infoAzzurri/status/1804800194107887688;308372640;infoAzzurri
1,80E+18;Sat Jun 15 06:07:05 +0000 2024;509;PSSI Ketelaluan banget sumpah seorang legenda seperti EL Loco Gonzales untuk nonton timnas aja malah dibantu pemain filipina ( walaupun menantu nya ) terus dikonfirmasi kalau PSSI udah sediain tiket buat legend kalau mau tinggal minta masa seorang legend dateng minta tiket https://t.co/Su2jgHelm5;1,80E+18;https://pbs.twimg.com/amplify_video_thumb/1801858724484812800/img/fAr_QrND3Kx8lPBb.jpg;;in;;32;80;138;https://x.com/Riweh_Banget/status/1801858950301946126;1,17E+18;Riweh_Banget
1,77E+18;Fri Mar 22 07:26:25 +0000 2024;9518;Di match Indonesia vs Vietnam semalam secara khusus aku &amp;;;;;;;;;;;
1,80E+18;Sun Jun 23 04:38:33 +0000 2024;2448;Respect untuk Marco Asensio Willemsen ketika ga dipanggil Timnas bukannya mengisi waktu luang dengan nendang dan MUkulin wasit di Turnamen Tarkam tapi lebih memilih refreshing dengan liburan ke Bali. https://t.co/hFFH7r8ujn;1,80E+18;https://pbs.twimg.com/media/GQu1nfyasAA4tip.jpg;;in;Ngadi King of The South;16;62;259;https://x.com/MafiaWasit/status/1804735773595652548;2794327166;MafiaWasit
1,67E+18;Mon Jun 19 14:32:34 +0000 2023;11884;Timnas Indonesia harus mengakui keunggulan Argentina dengan skor akhir 0-2. Sebuah pengalaman luar biasa. Terus berkembang Garuda! 🇮🇩 #KitaGaruda #GarudaMendunia #TimnasDay https://t.co/GP3eRdOD67;1,67E+18;https://pbs.twimg.com/ext_tw_video_thumb/1670801663190347783/pu/img/8jzWs1p0iZHR4vvh.jpg;;in;Jakarta;666;845;2166;https://x.com/PSSI/status/1670801752084344834;2363027508;PSSI
1,80E+18;Sun Jun 16 13:25:52 +0000 2024;84;TIMNAS PUSAT https://t.co/M0t40sKPhC;1,80E+18;https://pbs.twimg.com/media/GQMrAv0b0AAAZKR.jpg;;in;Kuala Lumpur City;0;5;12;https://x.com/TitipLawas/status/1802331761570988260;1,12E+18;TitipLawas
1,78E+18;Sat Apr 27 10:36:20 +0000 2024;10108; gapura kabupaten timnas Indonesia https://t.co/MixnF7Zvkm;1,78E+18;https://pbs.twimg.com/media/GMKk4sTaYAAThSi.jpg;;in;Indonesia;425;490;819;https://x.com/tanyakanrl/status/1784169706116829475;1,33E+18;tanyakanrl
1,78E+18;Mon Apr 29 00:05:09 +0000 2024;8087;Koleksi poster nobar semifinal #TimnasDay khas pejabat Indonesia Keberhasilan timnas ke semifinal setelah menundukkan korsel membuat animo masyarakat untuk mendukung dan nobar timnas meningkat!!! Ajakan nobar laga semifinal Indonesia vs Uzbekistan pun diadakan dimana-mana https://t.co/hkqOCkzOmI;1,78E+18;https://pbs.twimg.com/media/GMSnmPoakAAK-Vs.jpg;;in;;917;847;2273;https://x.com/JadiUtas/status/1784735638488801692;1,69E+18;JadiUtas
1,80E+18;Sat Jun 22 09:00:04 +0000 2024;144; Banyak potensi untuk dimaksimalkan! ‣ #KitaGaruda https://t.co/8VtRWUyeSF;1,80E+18;https://pbs.twimg.com/media/GQqn4h_aQAA3-LX.jpg;;in;Indonesia;0;2;12;https://x.com/TimnasIndonesia/status/1804439197803258111;1,68E+18;TimnasIndonesia
1,80E+18;Sat Jun 15 03:15:37 +0000 2024;1965;Gini ya rasanya punya timnas yang diakui dunia From this: To this: https://t.co/MYcgt9h2j0;1,80E+18;https://pbs.twimg.com/media/GQFV6iObEAAs__r.jpg;;in;Indonesia;6;29;235;https://x.com/virtualballers/status/1801815798597751011;620874207;virtualballers
1,80E+18;Fri Jun 21 14:06:48 +0000 2024;6805;Apresiasi untuk Nova Arianto. Coach Nova Arianto gak sia-sia jadi asisten STY bertahun-tahun bisa dibilang berhasil menyerap ilmu STY dan nerapin permainan yang rapi cantik serta tersistem ke Timnas U16. Jatuh cinta dengan permainan Timnas Indonesia🇮🇩 U16 #TimnasDay https://t.co/GNo1FYPEcV;1,80E+18;https://pbs.twimg.com/media/GQmkgLSakAcWZnq.jpg;;in;;31;113;582;https://x.com/bahaspemainbola/status/1804154002814214546;7,53E+17;bahaspemainbola
1,78E+18;Tue Apr 23 02:33:05 +0000 2024;3748;Dulu gw selalu mikir sedih kali ya Simone Inzaghi jadi striker medioker di Lazio sementara karir abangnya Filippo Inzaghi sukses banget dari klub sampe timnas. Eh ternyata doi jalannya sebagai pelatih bukan pemain. Congrats! ;1,78E+18;;;in;Jakarta;43;196;495;https://x.com/ernestprakasa/status/1782598538217853422;16882261;ernestprakasa
1,77E+18;Mon Apr 01 13:12:16 +0000 2024;3891; BREAKING: Jersey Timnas Indonesia Erspo Akan Dirombak dan Diubah Total! Berdasarkan hasil pertemuan Coach @CoachJustinL bersama perwakilan PSSI dan Founder Erspo yang diunggah di YouTube Justinus Lhaksana dapat diambil beberapa poin penting sebagai berikut: 1. Design https://t.co/lGQ96TOagR;1,77E+18;https://pbs.twimg.com/media/GKFPPtragAAYxls.jpg;;in;;252;292;664;https://x.com/utdabout/status/1774786862894534691;3029512724;utdabout
1,77E+18;Thu Mar 21 15:41:27 +0000 2024;14047;Jay Idzes bermain dengan dingin &amp;;;;;;;;;;;
1,80E+18;Mon Jun 17 14:18:06 +0000 2024;666;Jusa after unfollowing that selebgram gapernah kepanggil timnas https://t.co/xUNtoeclZr;1,80E+18;https://pbs.twimg.com/media/GQSAu5lasAArAgc.jpg;;in;written by a fan.;2;5;95;https://x.com/hohshouwei/status/1802707296520409526;9,75E+17;hohshouwei
1,80E+18;Fri Jun 21 07:06:05 +0000 2024;2362;Ngehekkk sih ni orang. Italia perlu dia tp yaa begitu https://t.co/Dq69hmptgB;1,80E+18;https://pbs.twimg.com/media/GQlENJnakAIia00.jpg;;in;Indonesia;44;122;120;https://x.com/infoAzzurri/status/1804048124572504090;308372640;infoAzzurri
1,78E+18;Mon Apr 29 15:59:34 +0000 2024;16531;Penyebab Timnas belum unggul sampai di menit 90an Rafael Struick Absen Offside bikin lemes Rizky Ridho kartu merah IG Stories Jerome Polin https://t.co/VKyfGCUMAj;1,78E+18;https://pbs.twimg.com/media/GMWBlHSa4AEoaVk.jpg;;in;Tokyo-to, Japan;816;726;2667;https://x.com/txtanakbioskop/status/1784975825634500882;1,19E+18;txtanakbioskop
1,80E+18;Sat Jun 22 09:31:07 +0000 2024;8;Timnas Indonesia tergabung di Pot 6 alias pot terbawah bersama Korea Utara dan Kuwait pada drawing grup untuk Round 3 Kualifikasi Piala Dunia 2026 zona Asia yang akan digelar di Kuala Lumpur Malaysia pada 27 Juni mendatang. Bismillah meski berat kudu kuat. Semangat https://t.co/bcNMhd5mSo;1,80E+18;https://pbs.twimg.com/media/GQqu_r_acAErnlB.jpg;;in;Stadion GBK;0;2;0;https://x.com/InfosuporterID/status/1804447012722790442;4379131152;InfosuporterID
1,80E+18;Fri Jun 21 14:00:24 +0000 2024;389; 2-0 Mantra Evandra ‣ #KitaGaruda ‣ #TimnasDay https://t.co/3RreDT6fwy;1,80E+18;https://pbs.twimg.com/media/GQmi2ifawAAjk-O.jpg;;es;Indonesia;2;5;44;https://x.com/TimnasIndonesia/status/1804152393057341810;1,68E+18;TimnasIndonesia
1,80E+18;Sun Jun 23 07:14:47 +0000 2024;6; PREDIKSI: Skuad timnas untuk AFF Gimana guys? https://t.co/7ifqAP2wG1;1,80E+18;https://pbs.twimg.com/media/GQvZYGKbsAA6udo.jpg;;in;;0;3;1;https://x.com/CupGol/status/1804775090388897984;1,75E+18;CupGol
1,77E+18;Mon Apr 01 04:58:40 +0000 2024;11867;MISTERI APPAREL TIMNAS *dilanjut jika banyak yg tertarik* https://t.co/wRN5paBZuI;1,77E+18;https://pbs.twimg.com/media/GKDeRUXasAAkFlg.jpg;;in;Indonesia;343;986;3116;https://x.com/PartaiSocmed/status/1774662645515419686;869327120;PartaiSocmed
1,80E+18;Thu Jun 20 16:35:37 +0000 2024;92;Inggris mengingat komposisi pemainnya boleh jadi timnas dengan filosofi paling payah. Ketika pegang bola luncurkan bola sejauh mungkin dari gawang via long ball Pickford. Saat gak pegang bola andalkan niat 1-2 pemain buat high press. Kalo gak ada yang mau ya mid/low-block. https://t.co/QquFoahRgj;1,80E+18;https://pbs.twimg.com/media/GQh8-C7bEAAhFsy.jpg;;in;;1;7;15;https://x.com/kevinbahasbola/status/1803829065503113712;1,30E+18;kevinbahasbola
1,80E+18;Fri Jun 21 04:01:23 +0000 2024;511; Memanggil #𝐆𝐚𝐫𝐮𝐝𝐚𝐅𝐚𝐧𝐬 ⏳ ASEAN U-16 Boys Championship ASEAN U-19 Boys Championship ‣ #KitaGaruda https://t.co/gax0yetk5Z;1,80E+18;https://pbs.twimg.com/media/GQkZrbzakAQKx1E.jpg;;en;Indonesia;4;9;47;https://x.com/TimnasIndonesia/status/1804001645937987943;1,68E+18;TimnasIndonesia
1,80E+18;Sat Jun 15 10:50:29 +0000 2024;44;siap membela timnas indonesia 🇮🇩🇮🇩 https://t.co/uzgM5paozM;1,80E+18;https://pbs.twimg.com/media/GQG-CEZaYAADDYT.jpg;;in;🇮🇩, 17, she/her;0;3;0;https://x.com/CRLN554/status/1801930271253561569;1,76E+18;CRLN554
1,79E+18;Mon May 06 13:38:47 +0000 2024;21626; RESMI : FIFA akhirnya merilis rangking untuk timnas futsal. Indonesia berada di peringkat 28 dunia coy. 🇮🇩 https://t.co/zX5v8kZ0CD;1,79E+18;https://pbs.twimg.com/media/GM5k9dwbsAA85k7.jpg;;in;;307;852;2315;https://x.com/idextratime/status/1787477111915385014;1,22E+18;idextratime
